Severity,priority,component,suggestion,title,Bug ID
N/A,N/A,N/A,N/A,N/A,TNR-16551
N/A,N/A,N/A,N/A,N/A,TNR-16550
N/A,N/A,N/A,N/A,N/A,TNR-16543
N/A,N/A,N/A,N/A,N/A,TNR-16542
N/A,N/A,N/A,N/A,N/A,TNR-16540
N/A,N/A,N/A,N/A,N/A,TNR-16551
N/A,N/A,N/A,N/A,N/A,TNR-16550
N/A,N/A,N/A,N/A,N/A,TNR-16543
N/A,N/A,N/A,N/A,N/A,TNR-16542
N/A,N/A,N/A,N/A,N/A,TNR-16540
Medium,P2,Product Codes Listing / Product Management Module,"[""Developer: Review the Product Codes Listing functionality and update the data mapping logic to fetch and display the 'unit code' field instead of the 'CA Indicator' field. Verify the correct database column or API response field is being referenced and ensure backward compatibility with existing integrations."", 'QA/Agent: Create test cases to validate that the unit code is correctly displayed in the Product Codes Listing across all applicable views. Verify data consistency between the listing display and the source data, and perform regression testing on related product management features.']",Product Codes Listing displays CA Indicator instead of Unit Code - Incorrect field mapping,TNR-16551
High,P1,Product Code Management / User Access Control Module,"['Developer: Review the product code creation logic to ensure TN (Tennessee) user validation rules are correctly scoped. The blocking condition should only apply to MISC product codes, not all product code types. Check the conditional logic in the product code creation endpoint/service layer and update the validation to exclude non-MISC product codes from the TN user restriction.', 'QA/Agent: Verify test coverage for different user roles (TN vs non-TN) creating various product code types (MISC vs non-MISC). Add regression test cases to ensure TN users can successfully create non-MISC product codes while still being appropriately restricted from MISC product codes if that business rule is intended.']",TN Users Incorrectly Blocked from Creating Non-MISC Product Codes in Product Code Add Functionality,TNR-16550
Low,P3,CA Indicator Search/Filter Component - UI/UX Form Controls,"['Developer: Convert the current CA Indicator search field from a standard text input to a searchable select/dropdown component (e.g., Select2, React-Select, or similar autocomplete dropdown). Implement typeahead functionality with filtered options, proper keyboard navigation, and accessibility support (ARIA attributes).', 'QA/Agent: Verify the searchable select component allows users to type and filter options dynamically, supports keyboard navigation (arrow keys, enter to select, escape to close), handles edge cases like empty results gracefully, and maintains consistency with other searchable selects in the application.']",CA Indicator Search Field - Implement Searchable Select Dropdown for Improved User Experience,TNR-16543
High,P1,Review Details Page / Authorization & Access Control Module,"['Developer: Investigate the access control logic for the review details endpoint. Check if the user permissions/roles are being validated correctly, verify authentication tokens are being passed and validated properly, and review any recent changes to the authorization middleware or route guards.', ""QA/Agent: Verify the user account has the appropriate role and permissions assigned. Test with different user roles to isolate if it's a specific role issue. Check if the issue is reproducible across different browsers/sessions and confirm if the access token has expired or is invalid.""]",Users Unable to Access Review Details Page Due to Authorization Failure,TNR-16542
Low,P3,Product Search/Product Code Management Module,"['Developer: Implement input validation on the search field to sanitize and reject invalid/malformed product codes before executing the search query. Add proper error handling to display user-friendly messages when invalid values are entered, and consider implementing regex patterns to validate product code formats.', 'QA/Agent: Create test cases covering boundary conditions, special characters, SQL injection attempts, empty strings, and excessively long inputs in the product code search field. Verify that appropriate error messages are displayed and no system errors or unexpected behaviors occur.']",Product Code Search Returns Unexpected Results When Invalid or Malformed Values Are Entered,TNR-16540
